title,price,location,link,description,area,bedrooms,bathrooms,source,image_url,active,status,last_seen
CASA EN ARRIENDO SECTOR CASTILLA,1500000,"Medell??n, Antioquia, Colombia",https://lacastellana.com.co/casa-alquiler-castilla-medellin/9672181,,80,3,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MTIwMjUxMjEwMTE0ODI3LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:33.685781+00
APARTAMENTO EN ARRIENDO SECTOR CAMPO VALDES,1000000,"Medell??n, Antioquia, Colombia",https://lacastellana.com.co/apartamento-alquiler-campo-valdes-medellin/9660036,,45,2,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MjIwMjUxMjAyMTIyNzEyLmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:33.705261+00
CASA EN ARRIENDO SECTOR BOYACA LAS BRISAS,2800000,"Medell??n, Antioquia, Colombia",https://lacastellana.com.co/casa-alquiler-boyaca-las-brisas-medellin/9658271,,190,4,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MTIwMjUxMjAxMDIxODAyLmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:33.723652+00
APARTAMENTO EN ARRIENDO SECTOR CASTILLA,1385000,"Medell??n, Antioquia, Colombia",https://lacastellana.com.co/apartamento-alquiler-castilla-medellin/9694338,,80,2,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MTIwMjUxMjI5MDEwNjE5LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:33.60935+00
CASA EN ARRIENDO SECTOR BOYACA LAS BRISAS,1800000,"Medell??n, Antioquia, Colombia",https://lacastellana.com.co/casa-alquiler-boyaca-las-brisas-medellin/9681288,,95,3,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MTIwMjUxMjE2MDMxNDQ2LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:33.649031+00
APARTAMENTO EN ARRIENDO SECTOR CALASANZ,1450000,"Calasanz, C12 - La Am??rica, Medell??n, Antioquia, Colombia",https://lacastellana.com.co/apartamento-alquiler-calasanz-medellin/9648155,,55,2,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MTIwMjUxMTI1MDE1MTA4LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:39.441817+00
APARTAMENTO EN ARRIENDO SECTOR LA PRADERA,2100000,"Medellín, Antioquia, Colombia",https://lacastellana.com.co/apartamento-alquiler-san-javier-medellin/9646123,,75,3,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2MTIwMjUxMTI0MDIwMzU2LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:39.460596+00
LOCAL EN ARRIENDO SECTOR CALAZANS,3200000,"Medellín, Antioquia, Colombia",https://lacastellana.com.co/local-alquiler-calasanz-medellin/9637706,,60,0,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2NjIwMjUxMTE5MTE1MjU0LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:39.474609+00
APARTAMENTO EN ARRIENDO SECTOR FLORENCIA,1100000,"Medellín, Antioquia, Colombia",https://lacastellana.com.co/apartamento-alquiler-florencia-medellin/9637676,,55,2,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2ODIwMjUxMTE5MTE0MTQ3LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:39.489677+00
LOCAL EN ARRIENDO SECTOR ROBLEDO PAJARITO,1500000,"Medellín, Antioquia, Colombia",https://lacastellana.com.co/local-alquiler-medellin/9624378,,60,1,,lacastellana,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nMTkwNjM2NDIwMjUxMTEzMDE0NjMwLmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjQ4MCwiaGVpZ2h0IjozNjAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,t,NEW,2026-01-13 20:38:39.502998+00
