title,price,location,link,description,area,bedrooms,bathrooms,source,image_url,active,status,last_seen
"Apartamento en Alquiler en Poblado, Medellín",3950000,"Poblado, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-poblado-medellin-7425224,,110,2,,panda,https://images.wasi.co/inmuebles/89827720240425034610.jpg,t,NEW,2026-01-13 20:50:18.48385+00
"Apartamento en Alquiler en Otra Parte, Envigado",3800000,"Otra Parte, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-otra-parte-envigado-8196337,,96,3,,panda,https://images.wasi.co/inmuebles/898271320241024105630.jpg,t,NEW,2026-01-13 20:50:18.609553+00
"Apartamento en Alquiler en Los Gonzalez, Medellín",4200000,"Los Gonzalez, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-los-gonzalez-medellin-9560120,,90,2,,panda,https://images.wasi.co/inmuebles/898271820251028062700.jpeg,t,NEW,2026-01-13 20:50:15.19917+00
"Apartamento en Alquiler en El Salado, Envigado",4100000,"El Salado, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-el-salado-envigado-9160704,,94,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_enviga_1748966251-9161_4892.jpeg,t,NEW,2026-01-13 20:50:18.362629+00
"Apartamento en Alquiler en Poblado, Medellín",4100000,"Poblado, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-poblado-medellin-9544483,,86,2,,panda,https://images.wasi.co/inmuebles/898271720251020095517.jpeg,t,NEW,2026-01-13 20:50:18.433108+00
"Apartamento en Alquiler en La Frontera, Medellín",5000000,"La Frontera, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-la-frontera-medellin-9285811,,110,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_venta_medellin_1751482472-9601_2812.jpeg,t,NEW,2026-01-13 20:50:05.802076+00
"Apartamento en Alquiler en Santa Maria De Los Angeles, Medellín",5000000,"Santa Maria De Los Angeles, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-santa-maria-de-los-angeles-medellin-9437916,,110,1,,panda,https://images.wasi.co/inmuebles/89827220250905111028.jpeg,t,NEW,2026-01-13 20:50:05.816852+00
"Apartamento en Alquiler en Villagrande, Envigado",5000000,"Villagrande, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-villagrande-envigado-9645383,,122,3,,panda,https://images.wasi.co/inmuebles/89827920251124084015.jpeg,t,NEW,2026-01-13 20:50:05.869638+00
"Apartamento en Alquiler en Andalucia, Envigado",4950000,"Andalucia, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-andalucia-envigado-9650528,,168,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_env_1764183956-8191_1183.jpeg,t,NEW,2026-01-13 20:50:09.026343+00
"Apartamento en Alquiler en La Abadia, Envigado",4900000,"La Abadia, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-abadia-envigado-9642034,,95,3,,panda,https://images.wasi.co/inmuebles/_apartamento_rn_alquiler_en_env_1763746766-2817_1359.jpeg,t,NEW,2026-01-13 20:50:09.322797+00
"Apartamento en Alquiler en La Frontera, Envigado",4850000,"La Frontera, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-frontera-envigado-6888012,,117,3,,panda,https://images.wasi.co/inmuebles/898273420250917102358.jpeg,t,NEW,2026-01-13 20:50:09.39572+00
"Apartamento en Alquiler en Benedictinos, Envigado",4500000,"Benedictinos, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-benedictinos-envigado-9299833,,70,2,,panda,https://images.wasi.co/inmuebles/_apartamento_para_arriendo_en_e_1751995100-8143_4390.jpeg,t,NEW,2026-01-13 20:50:09.445403+00
"Apartamento en Alquiler en La Frontera, Medellín",4500000,"La Frontera, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-la-frontera-medellin-9487650,,120,4,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_med_1758914245-2496_3982.jpeg,t,NEW,2026-01-13 20:50:09.509226+00
"Apartamento en Alquiler en Otra Parte, Envigado",4500000,"Otra Parte, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-otra-parte-envigado-9613320,,120,3,,panda,https://images.wasi.co/inmuebles/89827120251108115547.jpeg,t,NEW,2026-01-13 20:50:09.562915+00
"Apartamento en Alquiler en Poblado, Medellín",4500000,"Poblado, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-poblado-medellin-9673645,,88,4,,panda,https://images.wasi.co/inmuebles/_arriendo_apartamento_medellin_1765462531-1351_3831.jpeg,t,NEW,2026-01-13 20:50:09.6488+00
"Apartamento en Alquiler en La Frontera, Envigado",4500000,"La Frontera, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-frontera-envigado-9686227,,120,3,,panda,https://images.wasi.co/inmuebles/898271320251219013538.jpeg,t,NEW,2026-01-13 20:50:14.573312+00
"Apartamento en Alquiler en ZuÑiga, Envigado",4500000,"ZuÑiga, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-zuniga-envigado-9692035,,135,3,,panda,https://images.wasi.co/inmuebles/898271120251226100012.jpeg,t,NEW,2026-01-13 20:50:14.768154+00
"Apartamento en Alquiler en Otra Parte, Envigado",4400000,"Otra Parte, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-otra-parte-envigado-9537918,,134,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_env_1760470490-1657_8110.jpeg,t,NEW,2026-01-13 20:50:14.839197+00
"Apartamento en Alquiler en Trianon, Envigado",4300000,"Trianon, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-trianon-envigado-9589208,,95,3,,panda,https://images.wasi.co/inmuebles/89827420251104123417.jpeg,t,NEW,2026-01-13 20:50:14.962758+00
"Apartamento en Alquiler en Cumbres, Envigado",4300000,"Cumbres, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-cumbres-envigado-9681309,,96,3,,panda,https://images.wasi.co/inmuebles/898275720251217115250.jpeg,t,NEW,2026-01-13 20:50:15.036323+00
"Apartamento en Alquiler en Loma Del Escobero, Envigado",4200000,"Loma Del Escobero, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-loma-del-escobero-envigado-9558600,,67,2,,panda,https://images.wasi.co/inmuebles/_apartamento_en_venta_loma_esco_1761236109-2287_7007.jpeg,t,NEW,2026-01-13 20:50:15.133007+00
"Apartamento en Alquiler en Otra Parte, Envigado",3800000,"Otra Parte, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-otra-parte-envigado-9615198,,95,3,,panda,https://images.wasi.co/inmuebles/89827720251110093606.jpeg,t,NEW,2026-01-13 20:50:18.684318+00
"Apartamento en Alquiler en ZuÑiga, Envigado",3800000,"ZuÑiga, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-zuniga-envigado-9639362,,88,2,,panda,https://images.wasi.co/inmuebles/_arriendo_apartamento_envigado_1763648018-7224_1679.jpeg,t,NEW,2026-01-13 20:50:18.750065+00
